anno,1h,3h,6h,12h,24h
1926,20,35.8,52,57.2,60
1927,28.1,34.8,39.9,47.8,NaN
1932,21.8,33.4,39.8,54.8,69.2
1933,33.6,36.2,51,89,106.6
1934,16,27.2,42.4,70.2,98.6
1935,23,40.6,44.6,46.2,80.6
1936,21,25.2,26.4,42.6,48.8
1937,21.6,23.4,39.6,52.4,56.2
1938,20.6,27,41.2,51,89
1939,22,36,49,82.4,90.6
1940,20,43,61,81,110.4
1941,20,22.4,32,43.2,67.4
1942,39.6,84,101.4,113.6,145
1943,18,27.6,43,53.6,54
1955,43.2,45.6,45.6,45.8,60.0
1956,17.4,23.6,42.8,64.8,84.8
1957,17.4,29.6,39.0,57.4,60.8
1959,24.0,39.4,45.2,77.2,119.4
1960,20.8,23.0,37.6,46.2,96.0
1967,10.0,14.0,17.6,30.0,40.6
1968,19.0,35.4,48.0,48.6,60.4
1972,15.4,31.8,46.2,47.6,60.8
1973,13.8,32.6,37.0,42.8,64.2
1975,13.8,27.4,37.8,64.8,92.0
1976,22.8,40.4,60.4,84.6,126.8
1977,15.0,28.8,40.2,62.0,76.6
1978,21.0,23.4,36.0,58.6,79.4
1979,28.4,31.0,57.8,80.0,138.6
1980,19.2,42.0,82.4,116.6,146.2
1981,16.2,37.8,50.6,80.0,118.8
1982,32.8,36.2,40.8,67.2,106.2
1983,17.0,29.0,42.4,60.0,64.2
1984,18.8,21.4,40.0,47.4,51.2
1985,20.2,41.4,48.0,51.6,72.8
1986,22.6,24.0,38.4,62.8,97.0
1987,30.2,43.8,48.0,58.6,78.8
1988,25.6,39.0,66.0,88.0,102.6
1991,21,42.6,43,50.6,67.4
1995,17.4,23.2,42.2,52.6,58
1996,22.8,40.8,47.8,76.8,95.8
1999,48.2,71.4,73.8,74,84.2
2000,17.4,28.4,50.6,85.6,124
2001,25.8,34.2,35.8,54,71.8
2002,16.2,32.6,52.4,62.4,97.2
